City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arauco,-37.2463,-73.3175,287.47,86,49,1.89,CL,1713216124
1,suez,29.9737,32.5263,293.23,58,0,4.06,EG,1713216141
2,hard bargain,26.3167,-77.5667,295.83,64,0,5.84,BS,1713216143
3,new norfolk,-42.7826,147.0587,284.1,84,72,0.98,AU,1713216144
4,whitehorse,60.7161,-135.0538,277.09,34,20,2.57,CA,1713216145
5,albany,42.6001,-73.9662,290.13,48,12,2.24,US,1713215926
6,isafjordur,66.0755,-23.124,269.65,89,98,3.77,IS,1713216019
7,grytviken,-54.2811,-36.5092,273.91,81,16,8.3,GS,1713216149
8,ushuaia,-54.8,-68.3,289.96,55,20,4.63,AR,1713215884
9,aasiaat,68.7098,-52.8699,261.34,83,34,2.72,GL,1713216152
10,edinburgh of the seven seas,-37.0676,-12.3116,288.5,64,16,6.1,SH,1713216153
11,dunedin,-45.8742,170.5036,285.26,81,83,3.08,NZ,1713216155
12,tazacorte,28.629,-17.9293,293.69,94,5,4.63,ES,1713216156
13,nova sintra,14.8667,-24.7167,296.0,87,0,7.2,CV,1713216157
14,blackmans bay,-43.0167,147.3167,283.44,84,82,1.49,AU,1713216159
15,margate,51.3813,1.3862,281.98,63,100,5.81,GB,1713215952
16,invercargill,-46.4,168.35,283.72,95,100,3.58,NZ,1713216161
17,waitangi,-43.9535,-176.5597,284.72,78,100,1.34,NZ,1713215885
18,leava,-14.3,-178.1667,302.11,79,100,8.72,WF,1713216164
19,port lincoln,-34.7333,135.8667,287.52,80,2,3.32,AU,1713216165
20,camacupa,-12.0167,17.4833,290.67,94,44,1.12,AO,1713216166
21,tura,25.5198,90.2201,301.46,33,100,2.76,IN,1713215880
22,saipan,15.1355,145.701,299.54,83,0,2.06,MP,1713216000
23,sao paulo de olivenca,-3.3783,-68.8725,302.46,81,92,1.67,BR,1713216170
24,bredasdorp,-34.5322,20.0403,290.35,96,62,3.68,ZA,1713216172
25,adamstown,-25.066,-130.1015,295.49,68,65,6.68,PN,1713216173
26,weno,7.4515,151.8468,301.12,83,100,2.06,FM,1713216174
27,ulladulla,-35.35,150.4667,288.54,89,52,0.92,AU,1713216175
28,thompson,55.7435,-97.8558,281.28,62,23,2.21,CA,1713215858
29,nanyuki,0.0167,37.0728,288.86,88,100,3.68,KE,1713216179
30,antsiranana,-12.2787,49.2917,299.45,82,100,6.53,MG,1713216181
31,brooks,50.5834,-111.8851,288.94,35,97,4.63,CA,1713216169
32,malmslatt,58.411,15.5165,277.18,74,0,1.54,SE,1713216184
33,puerto natales,-51.7236,-72.4875,285.4,76,0,1.03,CL,1713215775
34,yellowknife,62.456,-114.3525,274.02,55,42,4.47,CA,1713215924
35,prince rupert,54.3161,-130.3201,280.98,72,0,3.6,CA,1713216187
36,narasapur,16.45,81.6667,300.22,80,1,1.86,IN,1713216189
37,chos malal,-37.3781,-70.2709,290.62,37,93,10.44,AR,1713216190
38,labuan,5.2767,115.2417,298.35,94,40,1.54,MY,1713216191
39,nacala,-14.5428,40.6728,297.6,74,100,4.13,MZ,1713216193
40,cadale,2.7603,46.3222,302.74,80,83,6.5,SO,1713216194
41,mata-utu,-13.2816,-176.1745,302.26,79,99,6.95,WF,1713216196
42,college,64.8569,-147.8028,276.53,48,40,2.57,US,1713216197
43,belek,36.8628,31.0556,292.03,57,0,2.85,TR,1713216198
44,kuta,-8.7233,115.1723,301.12,94,20,3.13,ID,1713216200
45,talnakh,69.4865,88.3972,251.82,100,98,1.96,RU,1713216201
46,port elizabeth,-33.918,25.5701,294.32,92,75,3.6,ZA,1713216203
47,wailua homesteads,22.0669,-159.378,298.39,67,75,3.09,US,1713216204
48,port-aux-francais,-49.35,70.2167,278.15,75,73,17.06,TF,1713216205
49,hawaiian paradise park,19.5933,-154.9731,300.22,84,75,3.09,US,1713216207
50,acapulco de juarez,16.8634,-99.8901,301.05,78,100,5.66,MX,1713215950
51,iqaluit,63.7506,-68.5145,270.0,58,40,6.17,CA,1713216209
52,ribeira grande,38.5167,-28.7,290.37,94,75,7.15,PT,1713216210
53,sinop,41.7711,34.8709,287.39,59,0,4.77,TR,1713216212
54,kununurra,-15.7667,128.7333,295.14,73,14,0.0,AU,1713216213
55,buchanan,5.8808,-10.0467,301.54,83,21,3.76,LR,1713216214
56,sabang,5.8933,95.3214,302.16,75,15,0.64,ID,1713216215
57,prince george,53.9166,-122.753,279.42,51,100,3.61,CA,1713216192
58,pizarro,4.9533,-77.366,301.02,87,100,3.39,CO,1713216218
59,bel ombre,-4.6167,55.4167,301.06,83,40,1.03,SC,1713216220
60,afaahiti,-17.75,-149.2833,301.08,84,100,8.07,PF,1713216195
61,hami,42.8,93.45,289.15,14,6,2.96,CN,1713216222
62,vadso,70.0744,29.7487,272.64,74,75,8.75,NO,1713216223
63,hamilton,39.1834,-84.5333,303.58,41,40,4.12,US,1713216225
64,aykhal,66.0,111.5,268.05,100,100,2.63,RU,1713216226
65,gorontalo,0.5412,123.0595,295.6,90,61,1.6,ID,1713216227
66,margaret river,-33.95,115.0667,286.19,88,1,3.37,AU,1713216228
67,vila do maio,15.1333,-23.2167,302.59,82,0,3.73,CV,1713216230
68,dudinka,69.4058,86.1778,247.5,100,95,1.98,RU,1713216232
69,nouadhibou,20.931,-17.0347,300.14,34,0,5.14,MR,1713216234
70,cruzeiro do sul,-29.5128,-51.9853,299.54,87,100,1.73,BR,1713216235
71,papao,-17.75,-149.55,301.97,84,100,9.04,PF,1713216236
72,lebu,-37.6167,-73.65,289.4,74,8,5.38,CL,1713215785
73,vorgashor,67.5833,63.95,268.6,96,100,7.28,RU,1713216239
74,noumea,-22.2763,166.4572,299.26,99,90,6.03,NC,1713216240
75,tiksi,71.6872,128.8694,267.54,88,100,3.94,RU,1713215908
76,udachny,66.4167,112.4,264.51,96,98,2.42,RU,1713215915
77,santa elena de uairen,4.6167,-61.1333,302.77,39,100,1.69,VE,1713216244
78,hell-ville,-13.4,48.2667,301.23,77,100,0.88,MG,1713216246
79,isla vista,34.4133,-119.861,295.88,66,20,3.09,US,1713216141
80,utrik,11.2278,169.8474,300.05,82,43,8.42,MH,1713216077
81,isiro,2.7739,27.616,293.57,99,100,0.4,CD,1713216250
82,qaqortoq,60.7167,-46.0333,274.24,99,100,2.1,GL,1713216251
83,luanda,-8.8368,13.2343,300.15,90,75,4.12,AO,1713216253
